accident_index,accident_year,accident_reference,location_easting_osgr,location_northing_osgr,longitude,latitude,police_force,accident_severity,number_of_vehicles,number_of_casualties,date,day_of_week,time,local_authority_district,local_authority_ons_district,local_authority_highway,first_road_class,first_road_number,road_type,speed_limit,junction_detail,junction_control,second_road_class,second_road_number,pedestrian_crossing_human_control,pedestrian_crossing_physical_facilities,light_conditions,weather_conditions,road_surface_conditions,special_conditions_at_site,carriageway_hazards,urban_or_rural_area,did_police_officer_attend_scene_of_accident,trunk_road_flag,lsoa_of_accident_location,datetime
2018135A50871,2018,135A50871,413799,433380,-1.791998,53.796562,West Yorkshire,Serious,1,1,2018-10-05,Friday,12:18:00,Bradford,E08000032,E08000032,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,Single carriageway,30,Not at junction or within 20 metres,Data missing or out of range,NA,Unknown,None within 50 metres,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,Non-trunk,E01010833,2018-10-05T11:18:00Z
2018135A51134,2018,135A51134,418478,434541,-1.720897,53.806853,West Yorkshire,Slight,2,1,2018-10-05,Friday,14:28:00,Bradford,E08000032,E08000032,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,Single carriageway,20,Crossroads,Auto traffic signal,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,None within 50 metres,No physical crossing facilities within 50 metres,Daylight,Raining no high winds,Wet or damp,None,None,Urban,Yes,Non-trunk,E01010827,2018-10-05T13:28:00Z
2018135A51163,2018,135A51163,418949,437053,-1.713592,53.829414,West Yorkshire,Slight,3,2,2018-10-05,Friday,14:40:00,Bradford,E08000032,E08000032,A,NA,Single carriageway,30,Not at junction or within 20 metres,Data missing or out of range,NA,Unknown,None within 50 metres,No physical crossing facilities within 50 metres,Daylight,Raining no high winds,Wet or damp,None,None,Urban,Yes,Non-trunk,E01010689,2018-10-05T13:40:00Z
2018135A51417,2018,135A51417,417448,436415,-1.736432,53.823732,West Yorkshire,Slight,1,3,2018-10-05,Friday,16:45:00,Bradford,E08000032,E08000032,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,Dual carriageway,30,Not at junction or within 20 metres,Data missing or out of range,NA,Unknown,None within 50 metres,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",Daylight,Fine no high winds,Wet or damp,None,None,Urban,Yes,Non-trunk,E01010656,2018-10-05T15:45:00Z
2018135A52141,2018,135A52141,413527,431917,-1.796191,53.78342,West Yorkshire,Slight,1,2,2018-10-05,Friday,22:32:00,Bradford,E08000032,E08000032,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,Single carriageway,30,T or staggered junction,Give way or uncontrolled,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,None within 50 metres,Central refuge,Darkness - lights lit,Raining no high winds,Wet or damp,None,None,Urban,Yes,Non-trunk,E01010662,2018-10-05T21:32:00Z
2018135A60943,2018,135A60943,405452,440707,-1.918589,53.862568,West Yorkshire,Slight,2,1,2018-10-06,Saturday,10:06:00,Bradford,E08000032,E08000032,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,Single carriageway,30,Not at junction or within 20 metres,Data missing or out of range,NA,Unknown,None within 50 metres,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,No,Non-trunk,E01010725,2018-10-06T09:06:00Z
2018135A70939,2018,135A70939,413923,435461,-1.790022,53.815262,West Yorkshire,Slight,3,2,2018-10-07,Sunday,13:05:00,Bradford,E08000032,E08000032,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,Single carriageway,30,Not at junction or within 20 metres,Data missing or out of range,NA,Unknown,None within 50 metres,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,Non-trunk,E01010675,2018-10-07T12:05:00Z
2018135A71461,2018,135A71461,414875,434714,-1.775599,53.808522,West Yorkshire,Serious,1,2,2018-10-07,Sunday,17:19:00,Bradford,E08000032,E08000032,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,Single carriageway,30,T or staggered junction,Give way or uncontrolled,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,None within 50 metres,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,Non-trunk,E01010676,2018-10-07T16:19:00Z
2018135A71589,2018,135A71589,414773,434690,-1.777149,53.80831,West Yorkshire,Slight,3,1,2018-10-07,Sunday,18:15:00,Bradford,E08000032,E08000032,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,Single carriageway,30,Crossroads,Auto traffic signal,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,None within 50 metres,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,Non-trunk,E01010676,2018-10-07T17:15:00Z
2018135A80204,2018,135A80204,402841,438675,-1.958307,53.844325,West Yorkshire,Slight,2,1,2018-10-09,Tuesday,06:10:00,Bradford,E08000032,E08000032,B,NA,Single carriageway,30,T or staggered junction,Give way or uncontrolled,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,None within 50 metres,No physical crossing facilities within 50 metres,Darkness - lights lit,Fine no high winds,Dry,None,None,Urban,No,Non-trunk,E01010862,2018-10-09T05:10:00Z
